i,site
1740,21-10851
698,122-61461
1133,198-99231
609,73-36962
11,207-103900
1017,70-35085
1577,132-66319
1731,218-109162
63,153-76942
1238,181-90872
1689,68-34478
1209,223-111819
6,65-32810
345,96-48164
1381,225-112612
288,172-86202
1365,149-74909
1316,99-49884
1348,137-68816
969,157-78590
575,160-80399
571,49-24797
1129,247-123531
89,63-31502
1838,36-18194
213,204-102159
269,218-109272
54,206-103124
1641,187-93927
1240,155-77952
1426,175-87555
1167,248-124451
632,129-64868
736,152-76003
481,112-56348
1973,242-121495
1261,229-114662
1481,119-59756
1190,4-2266
145,70-35094
22,187-93533
1751,243-121619
1203,102-51361
617,44-22345
287,108-54043
1208,234-117152
1995,114-57458
1137,235-117617
578,120-60491
1747,138-69000
368,121-60579
531,8-4380
1447,23-11663
230,134-67016
798,59-29598
991,179-89550
599,48-24420
923,182-91276
1213,248-124291
1497,170-85130
740,100-50070
805,162-81418
1064,191-95733
943,87-43652
157,104-52340
1573,227-113985
1325,231-115872
1768,109-54868
298,169-84889
279,46-23134
