i,site
679,82-41255
1892,82-41266
765,82-41306
726,82-41405
959,83-41500
1697,83-41692
1324,83-41744
39,83-41779
433,83-41816
661,83-41863
1256,83-41934
1176,8-4001
1460,8-4026
204,8-4192
605,8-4239
41,8-4242
1815,8-4262
44,8-4352
1904,8-4370
531,8-4380
977,8-4394
234,84-42039
1438,84-42042
301,84-42299
1737,84-42338
1516,84-42393
948,8-4426
517,8-4485
935,85-42571
1693,85-42607
1255,85-42621
792,85-42865
218,85-42871
536,85-42881
214,85-42884
737,85-42999
1999,86-43097
382,86-43478
638,87-43594
943,87-43652
1157,87-43654
1535,87-43707
190,87-43771
793,87-43878
519,87-43947
1729,88-44015
656,88-44085
1169,88-44112
831,88-44140
1950,88-44173
278,88-44194
55,88-44201
1834,88-44274
500,88-44462
1326,88-44475
4,89-44612
1755,89-44774
806,89-44827
1519,89-44957
439,89-44958
600,89-44990
1640,90-45083
286,90-45238
530,90-45264
105,90-45391
621,90-45397
296,90-45404
757,91-45526
506,91-45541
1341,91-45555
502,91-45721
333,91-45733
727,91-45802
901,91-45848
1712,92-46270
587,92-46278
1448,92-46285
421,92-46448
541,93-46514
122,93-46555
835,93-46676
938,93-46677
966,93-46719
1225,93-46720
243,93-46888
1996,94-47252
209,94-47304
259,94-47340
1409,94-47346
1882,94-47420
1122,94-47441
428,94-47448
256,94-47453
1140,9-4557
85,9-4582
1893,9-4609
1798,9-4838
1753,9-4874
1777,9-4908
217,9-4915
1649,9-4924
140,95-47590
1045,95-47636
37,95-47864
1823,95-47910
1599,95-47948
194,95-47983
507,96-48031
1065,96-48072
345,96-48164
1997,96-48351
1342,97-48628
1681,97-48633
645,97-48660
1532,97-48671
1144,97-48677
1278,97-48709
1026,97-48767
79,97-48881
348,98-49048
1392,98-49140
883,98-49168
592,98-49241
618,98-49342
573,98-49396
1536,98-49416
1633,98-49471
1141,98-49485
781,99-49582
1101,99-49757
1521,99-49793
252,99-49813
1878,99-49830
1316,99-49884
800,99-49915
