,c
640,124732
641,83236
642,47527
643,39220
644,27274
645,88010
646,70154
647,60906
648,77018
649,47152
650,119897
651,28057
652,123171
653,5105
654,34342
655,6978
656,69681
657,50077
658,94379
659,50120
660,105677
661,25733
662,9204
663,21949
664,9997
665,108870
666,40686
667,47281
668,55723
669,94676
670,70856
671,106884
672,34912
673,15484
674,41048
675,55147
676,48209
677,54357
678,82136
679,50769
680,6258
681,97524
682,66539
683,49001
684,60229
685,42114
686,44867
687,3978
688,114248
689,51608
690,55893
691,84315
692,120937
693,61816
694,109125
695,87258
696,71238
697,103016
698,4530
699,19617
700,49771
701,15425
702,93906
703,3495
704,10006
705,49651
706,47978
707,38743
708,38413
709,49071
710,69795
711,25730
712,47478
713,7149
714,63351
715,68614
716,119372
717,43449
718,103863
719,101979
720,54683
721,82740
722,122600
723,70152
724,28599
725,49332
726,3573
727,105602
728,79447
729,78759
730,10406
731,73346
732,98707
733,39542
734,54854
735,17908
736,42768
737,46915
738,3393
739,68753
740,83463
741,28712
742,108330
743,22116
744,52572
745,111289
746,59938
747,113013
748,54546
749,55414
750,79265
751,27351
752,32765
753,116011
754,124851
755,10880
756,55856
757,19463
758,82633
759,117787
760,22899
761,98348
762,75879
763,50714
764,38958
765,39990
766,55765
767,21780
768,100482
769,79346
770,99578
771,125314
772,54343
773,14838
774,49024
775,108049
776,37582
777,29090
778,95614
779,104107
780,118047
781,27631
782,1571
783,84981
784,46688
785,65084
786,35514
787,123937
788,109759
789,115750
790,33322
791,59208
792,21133
793,3784
794,36727
795,8792
796,123426
797,32034
798,13271
799,20177
800,9874
801,75209
802,68270
803,71625
804,71916
805,116065
806,30855
807,7065
808,21077
809,49417
810,85691
811,69221
812,73947
813,80860
814,108079
815,6449
816,41359
817,3098
818,92532
819,117008
820,72265
821,3975
822,113491
823,102956
824,118823
825,7540
826,80611
827,79806
828,116869
829,75151
830,24759
831,39844
832,78930
833,120818
834,61292
835,4168
836,98649
837,79868
838,5451
839,10469
840,109373
841,104615
842,28593
843,30533
844,6428
845,93284
846,65100
847,7663
848,23237
849,30266
850,60000
851,54857
852,58168
853,97030
854,123161
855,89617
856,108463
857,2362
858,120747
859,44944
860,85013
861,103536
862,70646
863,117402
864,62339
865,71552
866,50628
867,20017
868,64685
869,115838
870,34185
871,41376
872,49900
873,81469
874,87754
875,82378
876,61092
877,40695
878,107503
879,85822
880,12468
881,117814
882,95488
883,101520
884,72971
885,66911
886,39085
887,22424
888,115376
889,66726
890,26028
891,76417
892,84330
893,119015
894,73989
895,97152
896,54978
897,107321
898,98283
899,21575
900,3171
901,32242
902,112729
903,48446
904,80793
905,39098
906,77725
907,115130
908,109605
909,119344
910,23053
911,17538
912,29504
913,66729
914,40862
915,37911
916,85860
917,30929
918,77168
919,109935
920,97198
921,57717
922,61788
923,103301
924,125343
925,53196
926,115832
927,29636
928,126302
929,33131
930,77165
931,12902
932,110771
933,55400
934,99490
935,111752
936,35520
937,53749
938,57735
939,25431
940,125102
941,106282
942,15417
943,28682
944,2843
945,62398
946,4446
947,6308
948,17142
949,113716
950,58577
951,1538
952,15691
953,40258
954,13515
955,111760
956,74581
957,10802
958,2009
959,14930
960,113142
961,102721
962,97950
963,21378
964,111546
965,72693
966,8274
967,68995
968,80583
969,30750
970,23233
971,31368
972,98465
973,59702
974,113501
975,9500
976,30881
977,59988
978,109428
979,97348
980,22180
981,125751
982,46364
983,78602
984,74441
985,102537
