site,i
56-28162-12,1499
221-110662-12,1500
117-58967-12,1501
215-107602-12,1502
155-77691-12,1503
160-80446-12,1504
53-26697-12,1505
135-67902-12,1506
46-23388-12,1507
220-110311-12,1508
252-126372-12,1509
48-24338-12,1510
65-32520-12,1511
210-105041-12,1512
131-65626-12,1513
87-43985-12,1514
74-37303-12,1515
237-118847-12,1516
71-35583-12,1517
197-98903-12,1518
170-85069-12,1519
134-67393-12,1520
78-39041-12,1521
147-73805-12,1522
112-56092-12,1523
16-8369-12,1524
5-2775-12,1525
5-2804-12,1526
112-56060-12,1527
216-108223-12,1528
171-85782-12,1529
205-102540-12,1530
205-102594-12,1531
86-43097-12,1532
111-55857-12,1533
223-111902-12,1534
37-18910-12,1535
249-124813-12,1536
33-16936-12,1537
246-123355-12,1538
14-7163-12,1539
24-12420-12,1540
83-41641-12,1541
106-53090-12,1542
210-105003-12,1543
117-58501-12,1544
186-93442-12,1545
185-92791-12,1546
186-93183-12,1547
138-69371-12,1548
141-70886-12,1549
241-120573-12,1550
148-74232-12,1551
163-81956-12,1552
234-117150-12,1553
83-41877-12,1554
243-121521-12,1555
160-80372-12,1556
16-8003-12,1557
124-62358-12,1558
57-28757-12,1559
4-2209-12,1560
97-48797-12,1561
237-118789-12,1562
184-92201-12,1563
10-5066-12,1564
213-106912-12,1565
147-73952-12,1566
196-98205-12,1567
8-4080-12,1568
70-35456-12,1569
118-59058-12,1570
131-65979-12,1571
233-116534-12,1572
3-1572-12,1573
138-69085-12,1574
165-82714-12,1575
78-39047-12,1576
160-80038-12,1577
73-36957-12,1578
76-38250-12,1579
43-21969-12,1580
130-65189-12,1581
174-87374-12,1582
37-18965-12,1583
171-85822-12,1584
61-30564-12,1585
72-36070-12,1586
85-42673-12,1587
245-122608-12,1588
17-8609-12,1589
37-18595-12,1590
88-44063-12,1591
141-70841-12,1592
203-101599-12,1593
91-45939-12,1594
54-27046-12,1595
140-70366-12,1596
22-11430-12,1597
62-31404-12,1598
154-77245-12,1599
60-30323-12,1600
234-117107-12,1601
162-81303-12,1602
141-70970-12,1603
119-59947-12,1604
147-73823-12,1605
186-93450-12,1606
150-75074-12,1607
75-37692-12,1608
251-125775-12,1609
228-114337-12,1610
108-54302-12,1611
71-35711-12,1612
92-46177-12,1613
197-98863-12,1614
45-22808-12,1615
221-110901-12,1616
73-36585-12,1617
20-10175-12,1618
37-18781-12,1619
169-84982-12,1620
37-18882-12,1621
75-37833-12,1622
120-60410-12,1623
241-120678-12,1624
107-53555-12,1625
192-96430-12,1626
198-99151-12,1627
76-38232-12,1628
108-54497-12,1629
22-11334-12,1630
232-116269-12,1631
213-106699-12,1632
194-97161-12,1633
73-36995-12,1634
119-59583-12,1635
10-5150-12,1636
47-23564-12,1637
136-68027-12,1638
244-122247-12,1639
172-86080-12,1640
49-24898-12,1641
236-118191-12,1642
64-32328-12,1643
163-81544-12,1644
211-105904-12,1645
192-96227-12,1646
232-116222-12,1647
78-39309-12,1648
199-99878-12,1649
20-10092-12,1650
188-94059-12,1651
11-5677-12,1652
133-66811-12,1653
164-82378-12,1654
147-73661-12,1655
140-70496-12,1656
96-48350-12,1657
208-104284-12,1658
102-51234-12,1659
142-71146-12,1660
139-69986-12,1661
214-107417-12,1662
51-25560-12,1663
7-3744-12,1664
178-89137-12,1665
211-105652-12,1666
160-80464-12,1667
155-77717-12,1668
75-37974-12,1669
39-19791-12,1670
241-120691-12,1671
14-7009-12,1672
195-97850-12,1673
91-45699-12,1674
194-97264-12,1675
74-37387-12,1676
65-32722-12,1677
100-50010-12,1678
4-2384-12,1679
235-117688-12,1680
187-93950-12,1681
240-120067-12,1682
149-74737-12,1683
164-82008-12,1684
175-87772-12,1685
141-70631-12,1686
112-56283-12,1687
99-49797-12,1688
91-45639-12,1689
47-23954-12,1690
247-123503-12,1691
133-66752-12,1692
118-59419-12,1693
25-12553-12,1694
180-90328-12,1695
192-96290-12,1696
194-97430-12,1697
164-82265-12,1698
152-76107-12,1699
124-62495-12,1700
201-100704-12,1701
191-95509-12,1702
172-86056-12,1703
37-18673-12,1704
139-69980-12,1705
196-98073-12,1706
84-42285-12,1707
78-39077-12,1708
248-124346-12,1709
53-26901-12,1710
187-93872-12,1711
122-61008-12,1712
63-31642-12,1713
126-63292-12,1714
165-82574-12,1715
53-26903-12,1716
96-48358-12,1717
127-63863-12,1718
22-11064-12,1719
175-87731-12,1720
55-27764-12,1721
130-65474-12,1722
135-67717-12,1723
179-89597-12,1724
34-17344-12,1725
146-73164-12,1726
130-65218-12,1727
214-107281-12,1728
175-87958-12,1729
17-8804-12,1730
84-42088-12,1731
86-43214-12,1732
88-44328-12,1733
187-93599-12,1734
55-27833-12,1735
41-20762-12,1736
130-65457-12,1737
0-277-12,1738
201-100718-12,1739
191-95957-12,1740
45-22713-12,1741
34-17130-12,1742
188-94297-12,1743
136-68096-12,1744
203-101823-12,1745
123-61505-12,1746
135-67560-12,1747
194-97182-12,1748
27-13855-12,1749
127-63532-12,1750
23-11711-12,1751
149-74940-12,1752
82-41105-12,1753
137-68536-12,1754
88-44181-12,1755
59-29991-12,1756
52-26369-12,1757
235-117954-12,1758
141-70500-12,1759
185-92857-12,1760
226-113149-12,1761
98-49490-12,1762
4-2499-12,1763
76-38436-12,1764
167-83610-12,1765
172-86374-12,1766
59-29736-12,1767
10-5400-12,1768
100-50356-12,1769
117-58981-12,1770
84-42036-12,1771
59-29501-12,1772
183-91591-12,1773
9-4533-12,1774
176-88003-12,1775
176-88126-12,1776
224-112224-12,1777
77-38515-12,1778
253-126509-12,1779
184-92438-12,1780
142-71396-12,1781
183-91514-12,1782
111-55569-12,1783
175-87663-12,1784
172-86010-12,1785
122-61178-12,1786
189-94633-12,1787
162-81020-12,1788
69-34574-12,1789
245-122798-12,1790
208-104308-12,1791
191-95908-12,1792
90-45280-12,1793
9-4617-12,1794
198-99462-12,1795
184-92391-12,1796
52-26231-12,1797
59-29794-12,1798
82-41009-12,1799
73-36643-12,1800
66-33178-12,1801
69-34956-12,1802
161-80746-12,1803
93-46595-12,1804
166-83236-12,1805
196-98001-12,1806
24-12463-12,1807
226-113331-12,1808
79-39622-12,1809
245-122801-12,1810
121-60777-12,1811
29-14985-12,1812
71-35584-12,1813
83-41900-12,1814
246-123261-12,1815
11-5945-12,1816
126-63142-12,1817
107-53810-12,1818
95-47694-12,1819
128-64377-12,1820
198-99328-12,1821
234-117275-12,1822
243-121598-12,1823
128-64167-12,1824
203-101963-12,1825
161-80529-12,1826
127-63847-12,1827
35-17698-12,1828
178-89092-12,1829
218-109351-12,1830
225-112994-12,1831
65-32771-12,1832
252-126320-12,1833
78-39275-12,1834
219-109888-12,1835
200-100340-12,1836
36-18126-12,1837
241-120979-12,1838
129-64548-12,1839
103-51547-12,1840
84-42005-12,1841
7-3567-12,1842
190-95056-12,1843
212-106492-12,1844
140-70299-12,1845
118-59403-12,1846
184-92277-12,1847
20-10293-12,1848
3-1950-12,1849
19-9925-12,1850
110-55283-12,1851
199-99564-12,1852
52-26283-12,1853
106-53485-12,1854
138-69309-12,1855
176-88279-12,1856
100-50344-12,1857
187-93586-12,1858
207-103772-12,1859
86-43000-12,1860
167-83899-12,1861
58-29179-12,1862
6-3102-12,1863
138-69223-12,1864
40-20443-12,1865
48-24204-12,1866
165-82853-12,1867
180-90287-12,1868
209-104960-12,1869
246-123105-12,1870
44-22283-12,1871
144-72320-12,1872
113-56839-12,1873
204-102229-12,1874
241-120690-12,1875
75-37639-12,1876
6-3345-12,1877
168-84219-12,1878
59-29679-12,1879
41-20878-12,1880
115-57523-12,1881
57-28671-12,1882
187-93942-12,1883
4-2408-12,1884
233-116860-12,1885
18-9304-12,1886
109-54766-12,1887
163-81559-12,1888
76-38028-12,1889
64-32032-12,1890
111-55568-12,1891
183-91906-12,1892
174-87081-12,1893
232-116043-12,1894
201-100765-12,1895
132-66380-12,1896
105-52683-12,1897
136-68264-12,1898
142-71330-12,1899
215-107795-12,1900
142-71305-12,1901
104-52379-12,1902
210-105311-12,1903
44-22151-12,1904
92-46207-12,1905
13-6621-12,1906
192-96472-12,1907
6-3136-12,1908
46-23340-12,1909
90-45134-12,1910
38-19358-12,1911
0-34-12,1912
194-97282-12,1913
78-39277-12,1914
25-12901-12,1915
192-96198-12,1916
144-72007-12,1917
130-65395-12,1918
189-94989-12,1919
15-7959-12,1920
68-34097-12,1921
124-62229-12,1922
124-62360-12,1923
92-46257-12,1924
117-58859-12,1925
73-36632-12,1926
104-52280-12,1927
114-57310-12,1928
225-112521-12,1929
149-74968-12,1930
41-20595-12,1931
58-29367-12,1932
243-121947-12,1933
100-50461-12,1934
195-97688-12,1935
153-76947-12,1936
65-32686-12,1937
33-16721-12,1938
36-18321-12,1939
11-5713-12,1940
118-59066-12,1941
235-117793-12,1942
138-69285-12,1943
116-58431-12,1944
190-95189-12,1945
183-91969-12,1946
18-9076-12,1947
90-45232-12,1948
187-93955-12,1949
181-90893-12,1950
93-46837-12,1951
28-14149-12,1952
136-68217-12,1953
108-54405-12,1954
114-57243-12,1955
107-53616-12,1956
251-125791-12,1957
152-76410-12,1958
204-102426-12,1959
200-100394-12,1960
248-124181-12,1961
223-111929-12,1962
182-91167-12,1963
40-20071-12,1964
8-4420-12,1965
9-4710-12,1966
181-90947-12,1967
36-18356-12,1968
31-15690-12,1969
24-12085-12,1970
68-34184-12,1971
45-22852-12,1972
2-1399-12,1973
95-47657-12,1974
216-108085-12,1975
138-69019-12,1976
36-18132-12,1977
0-428-12,1978
121-60804-12,1979
8-4195-12,1980
234-117448-12,1981
56-28441-12,1982
81-40516-12,1983
168-84074-12,1984
219-109644-12,1985
44-22157-12,1986
133-66999-12,1987
137-68585-12,1988
74-37005-12,1989
178-89290-12,1990
67-33730-12,1991
225-112870-12,1992
160-80377-12,1993
247-123551-12,1994
39-19964-12,1995
139-69693-12,1996
40-20392-12,1997
115-57600-12,1998
124-62003-12,1999
78-39053-12,2000
123-61901-12,2001
7-3991-12,2002
169-84736-12,2003
45-22819-12,2004
86-43458-12,2005
38-19447-12,2006
16-8314-12,2007
16-8076-12,2008
242-121335-12,2009
103-51566-12,2010
179-89935-12,2011
122-61300-12,2012
4-2045-12,2013
116-58498-12,2014
73-36767-12,2015
35-17657-12,2016
240-120139-12,2017
65-32515-12,2018
141-70556-12,2019
15-7995-12,2020
222-111383-12,2021
222-111214-12,2022
187-93560-12,2023
22-11061-12,2024
247-123678-12,2025
108-54466-12,2026
88-44467-12,2027
189-94893-12,2028
109-54951-12,2029
214-107307-12,2030
161-80691-12,2031
71-35873-12,2032
225-112864-12,2033
226-113378-12,2034
85-42598-12,2035
238-119464-12,2036
108-54139-12,2037
24-12426-12,2038
223-111536-12,2039
9-4932-12,2040
199-99689-12,2041
147-73560-12,2042
245-122812-12,2043
33-16715-12,2044
195-97612-12,2045
230-115401-12,2046
112-56022-12,2047
25-12797-12,2048
211-105736-12,2049
2-1267-12,2050
37-18978-12,2051
124-62238-12,2052
69-34747-12,2053
236-118346-12,2054
152-76089-12,2055
31-15972-12,2056
43-21912-12,2057
15-7529-12,2058
211-105773-12,2059
49-24782-12,2060
112-56437-12,2061
71-35924-12,2062
174-87082-12,2063
29-14636-12,2064
114-57426-12,2065
18-9350-12,2066
113-56861-12,2067
206-103247-12,2068
57-28652-12,2069
61-30871-12,2070
244-122013-12,2071
166-83240-12,2072
214-107018-12,2073
186-93101-12,2074
67-33952-12,2075
122-61205-12,2076
72-36185-12,2077
16-8027-12,2078
232-116004-12,2079
153-76596-12,2080
228-114105-12,2081
26-13142-12,2082
127-63755-12,2083
169-84786-12,2084
156-78323-12,2085
109-54504-12,2086
77-38519-12,2087
81-40658-12,2088
130-65390-12,2089
32-16308-12,2090
105-52981-12,2091
26-13069-12,2092
246-123189-12,2093
177-88735-12,2094
153-76673-12,2095
122-61313-12,2096
16-8089-12,2097
221-110994-12,2098
12-6007-12,2099
168-84299-12,2100
60-30153-12,2101
187-93712-12,2102
9-4824-12,2103
199-99562-12,2104
9-4519-12,2105
212-106240-12,2106
120-60233-12,2107
243-121935-12,2108
122-61428-12,2109
41-20883-12,2110
161-80817-12,2111
144-72498-12,2112
228-114089-12,2113
166-83412-12,2114
146-73329-12,2115
249-124727-12,2116
120-60451-12,2117
163-81919-12,2118
82-41359-12,2119
40-20128-12,2120
155-77511-12,2121
42-21449-12,2122
83-41629-12,2123
161-80744-12,2124
222-111168-12,2125
244-122285-12,2126
116-58301-12,2127
112-56116-12,2128
222-111027-12,2129
132-66294-12,2130
62-31041-12,2131
249-124950-12,2132
178-89399-12,2133
226-113282-12,2134
71-35985-12,2135
64-32131-12,2136
235-117869-12,2137
42-21238-12,2138
208-104132-12,2139
84-42374-12,2140
115-57797-12,2141
231-115892-12,2142
237-118664-12,2143
213-106799-12,2144
176-88338-12,2145
128-64061-12,2146
88-44167-12,2147
78-39122-12,2148
118-59071-12,2149
89-44677-12,2150
115-57974-12,2151
190-95088-12,2152
140-70218-12,2153
91-45693-12,2154
8-4294-12,2155
214-107469-12,2156
231-115856-12,2157
49-24858-12,2158
87-43797-12,2159
78-39208-12,2160
152-76112-12,2161
63-31522-12,2162
9-4957-12,2163
49-24903-12,2164
27-13942-12,2165
70-35198-12,2166
13-6978-12,2167
107-53865-12,2168
2-1299-12,2169
178-89369-12,2170
216-108469-12,2171
59-29755-12,2172
66-33073-12,2173
233-116732-12,2174
251-125635-12,2175
178-89258-12,2176
247-123639-12,2177
3-1531-12,2178
27-13907-12,2179
65-32640-12,2180
174-87394-12,2181
32-16289-12,2182
66-33191-12,2183
171-85653-12,2184
163-81534-12,2185
54-27474-12,2186
101-50554-12,2187
167-83577-12,2188
124-62192-12,2189
251-125908-12,2190
16-8200-12,2191
92-46246-12,2192
173-86912-12,2193
139-69685-12,2194
169-84826-12,2195
140-70027-12,2196
14-7349-12,2197
155-77953-12,2198
37-18769-12,2199
155-77816-12,2200
99-49627-12,2201
235-117999-12,2202
131-65574-12,2203
216-108016-12,2204
204-102281-12,2205
151-75867-12,2206
45-22617-12,2207
67-33525-12,2208
145-72764-12,2209
232-116082-12,2210
75-37913-12,2211
8-4138-12,2212
252-126497-12,2213
102-51297-12,2214
50-25470-12,2215
215-107570-12,2216
116-58187-12,2217
38-19416-12,2218
200-100462-12,2219
51-25892-12,2220
196-98493-12,2221
32-16023-12,2222
99-49989-12,2223
120-60185-12,2224
27-13656-12,2225
70-35099-12,2226
16-8083-12,2227
110-55360-12,2228
43-21913-12,2229
99-49578-12,2230
106-53253-12,2231
183-91962-12,2232
247-123671-12,2233
37-18908-12,2234
239-119981-12,2235
179-89506-12,2236
106-53081-12,2237
236-118126-12,2238
188-94358-12,2239
105-52965-12,2240
168-84022-12,2241
10-5061-12,2242
135-67604-12,2243
173-86957-12,2244
217-108715-12,2245
182-91342-12,2246
73-36968-12,2247
135-67871-12,2248
238-119300-12,2249
87-43880-12,2250
41-20888-12,2251
200-100156-12,2252
93-46854-12,2253
136-68417-12,2254
170-85108-12,2255
50-25351-12,2256
17-8907-12,2257
84-42492-12,2258
111-55687-12,2259
9-4912-12,2260
105-52852-12,2261
193-96756-12,2262
156-78243-12,2263
128-64175-12,2264
186-93066-12,2265
224-112469-12,2266
206-103091-12,2267
147-73597-12,2268
3-1681-12,2269
200-100115-12,2270
107-53949-12,2271
121-60652-12,2272
41-20859-12,2273
246-123065-12,2274
191-95725-12,2275
130-65008-12,2276
118-59499-12,2277
74-37041-12,2278
58-29148-12,2279
142-71234-12,2280
226-113030-12,2281
221-110980-12,2282
133-66772-12,2283
181-90704-12,2284
207-103965-12,2285
30-15195-12,2286
176-88367-12,2287
149-74977-12,2288
17-8880-12,2289
67-33676-12,2290
157-78803-12,2291
232-116057-12,2292
201-100548-12,2293
233-116980-12,2294
85-42604-12,2295
32-16200-12,2296
207-103600-12,2297
197-98810-12,2298
147-73752-12,2299
55-27857-12,2300
80-40237-12,2301
168-84215-12,2302
210-105149-12,2303
60-30469-12,2304
6-3432-12,2305
43-21577-12,2306
209-104510-12,2307
35-17681-12,2308
220-110021-12,2309
112-56043-12,2310
213-106950-12,2311
127-63572-12,2312
220-110404-12,2313
115-57838-12,2314
56-28010-12,2315
31-15800-12,2316
121-60953-12,2317
88-44159-12,2318
157-78904-12,2319
200-100183-12,2320
21-10707-12,2321
178-89368-12,2322
119-59779-12,2323
242-121375-12,2324
222-111249-12,2325
102-51406-12,2326
59-29706-12,2327
28-14058-12,2328
244-122268-12,2329
111-55914-12,2330
154-77394-12,2331
238-119018-12,2332
187-93613-12,2333
123-61598-12,2334
248-124227-12,2335
60-30124-12,2336
150-75219-12,2337
36-18103-12,2338
114-57217-12,2339
127-63536-12,2340
65-32758-12,2341
97-48859-12,2342
98-49469-12,2343
209-104891-12,2344
147-73505-12,2345
56-28082-12,2346
201-100693-12,2347
165-82693-12,2348
41-20767-12,2349
66-33424-12,2350
150-75490-12,2351
66-33493-12,2352
244-122147-12,2353
229-114966-12,2354
23-11929-12,2355
103-51897-12,2356
22-11008-12,2357
76-38440-12,2358
131-65998-12,2359
242-121316-12,2360
239-119519-12,2361
81-40874-12,2362
59-29716-12,2363
14-7115-12,2364
104-52356-12,2365
138-69050-12,2366
195-97867-12,2367
5-2721-12,2368
152-76432-12,2369
179-89923-12,2370
100-50088-12,2371
207-103663-12,2372
25-12514-12,2373
32-16237-12,2374
84-42042-12,2375
190-95396-12,2376
134-67155-12,2377
111-55573-12,2378
197-98897-12,2379
215-107982-12,2380
33-16940-12,2381
92-46452-12,2382
17-8902-12,2383
242-121347-12,2384
8-4467-12,2385
42-21301-12,2386
223-111615-12,2387
210-105354-12,2388
103-51592-12,2389
80-40238-12,2390
23-11574-12,2391
194-97032-12,2392
20-10421-12,2393
76-38330-12,2394
171-85604-12,2395
247-123889-12,2396
188-94466-12,2397
76-38035-12,2398
137-68853-12,2399
145-72733-12,2400
167-83684-12,2401
75-37868-12,2402
138-69319-12,2403
153-76857-12,2404
61-30947-12,2405
231-115941-12,2406
147-73719-12,2407
37-18725-12,2408
86-43043-12,2409
92-46490-12,2410
191-95845-12,2411
29-14539-12,2412
3-1961-12,2413
52-26234-12,2414
56-28077-12,2415
6-3006-12,2416
74-37272-12,2417
98-49299-12,2418
224-112155-12,2419
191-95546-12,2420
176-88309-12,2421
81-40667-12,2422
185-92735-12,2423
118-59437-12,2424
240-120483-12,2425
105-52938-12,2426
152-76480-12,2427
119-59636-12,2428
104-52277-12,2429
170-85215-12,2430
91-45851-12,2431
190-95302-12,2432
223-111645-12,2433
35-17954-12,2434
156-78411-12,2435
209-104770-12,2436
173-86521-12,2437
175-87571-12,2438
141-70875-12,2439
249-124805-12,2440
100-50466-12,2441
122-61391-12,2442
237-118620-12,2443
195-97914-12,2444
227-113648-12,2445
94-47278-12,2446
239-119890-12,2447
60-30362-12,2448
9-4787-12,2449
223-111805-12,2450
158-79434-12,2451
161-80663-12,2452
43-21725-12,2453
91-45679-12,2454
41-20728-12,2455
44-22156-12,2456
171-85982-12,2457
171-85998-12,2458
126-63200-12,2459
20-10495-12,2460
55-27922-12,2461
126-63072-12,2462
133-66556-12,2463
193-96763-12,2464
199-99968-12,2465
23-11685-12,2466
165-82782-12,2467
232-116085-12,2468
12-6367-12,2469
225-112788-12,2470
73-36986-12,2471
222-111320-12,2472
161-80805-12,2473
93-46727-12,2474
37-18545-12,2475
5-2908-12,2476
200-100197-12,2477
102-51314-12,2478
71-35582-12,2479
223-111514-12,2480
32-16432-12,2481
172-86227-12,2482
112-56107-12,2483
92-46139-12,2484
229-114843-12,2485
189-94662-12,2486
214-107389-12,2487
120-60056-12,2488
94-47275-12,2489
210-105279-12,2490
84-42380-12,2491
217-108889-12,2492
9-4803-12,2493
100-50080-12,2494
89-44825-12,2495
206-103348-12,2496
38-19123-12,2497
87-43683-12,2498
239-119631-12,2499
59-29960-12,2500
136-68164-12,2501
246-123080-12,2502
151-75705-12,2503
55-27943-12,2504
177-88680-12,2505
109-54949-12,2506
89-44832-12,2507
96-48115-12,2508
115-57855-12,2509
173-86851-12,2510
211-105684-12,2511
91-45549-12,2512
61-30977-12,2513
16-8390-12,2514
252-126241-12,2515
54-27335-12,2516
178-89377-12,2517
217-108564-12,2518
14-7382-12,2519
46-23044-12,2520
34-17475-12,2521
95-47710-12,2522
41-20528-12,2523
194-97151-12,2524
214-107346-12,2525
184-92224-12,2526
69-34650-12,2527
200-100354-12,2528
38-19102-12,2529
29-14802-12,2530
91-45590-12,2531
56-28176-12,2532
41-20643-12,2533
8-4468-12,2534
38-19283-12,2535
53-26933-12,2536
89-44962-12,2537
187-93793-12,2538
186-93373-12,2539
73-36756-12,2540
107-53644-12,2541
152-76226-12,2542
43-21538-12,2543
221-110584-12,2544
117-58740-12,2545
27-13581-12,2546
172-86141-12,2547
107-53562-12,2548
112-56364-12,2549
130-65152-12,2550
22-11383-12,2551
241-120866-12,2552
6-3414-12,2553
131-65509-12,2554
15-7953-12,2555
128-64278-12,2556
253-126603-12,2557
5-2649-12,2558
120-60186-12,2559
73-36703-12,2560
143-71981-12,2561
31-15658-12,2562
250-125097-12,2563
188-94464-12,2564
105-52838-12,2565
70-35129-12,2566
68-34121-12,2567
145-72664-12,2568
239-119664-12,2569
98-49362-12,2570
176-88012-12,2571
6-3325-12,2572
73-36704-12,2573
86-43011-12,2574
147-73945-12,2575
164-82061-12,2576
162-81198-12,2577
167-83842-12,2578
91-45908-12,2579
186-93172-12,2580
76-38331-12,2581
31-15560-12,2582
221-110513-12,2583
12-6289-12,2584
76-38050-12,2585
119-59645-12,2586
206-103243-12,2587
74-37392-12,2588
9-4942-12,2589
15-7651-12,2590
72-36021-12,2591
239-119558-12,2592
192-96046-12,2593
115-57805-12,2594
18-9430-12,2595
47-23666-12,2596
145-72783-12,2597
247-123951-12,2598
32-16332-12,2599
200-100436-12,2600
144-72429-12,2601
164-82194-12,2602
105-52825-12,2603
92-46244-12,2604
112-56432-12,2605
30-15337-12,2606
74-37389-12,2607
72-36060-12,2608
108-54256-12,2609
125-62911-12,2610
95-47605-12,2611
231-115889-12,2612
115-57871-12,2613
45-22752-12,2614
114-57234-12,2615
57-28723-12,2616
205-102891-12,2617
165-82561-12,2618
78-39003-12,2619
72-36190-12,2620
188-94448-12,2621
150-75126-12,2622
190-95060-12,2623
184-92001-12,2624
77-38960-12,2625
160-80396-12,2626
52-26132-12,2627
126-63128-12,2628
141-70727-12,2629
231-115715-12,2630
89-44615-12,2631
219-109857-12,2632
121-60668-12,2633
200-100320-12,2634
222-111262-12,2635
96-48268-12,2636
252-126213-12,2637
145-72925-12,2638
219-109790-12,2639
239-119690-12,2640
57-28983-12,2641
122-61130-12,2642
236-118015-12,2643
205-102682-12,2644
190-95331-12,2645
167-83901-12,2646
232-116129-12,2647
68-34408-12,2648
77-38670-12,2649
182-91262-12,2650
186-93413-12,2651
123-61656-12,2652
166-83277-12,2653
85-42838-12,2654
79-39878-12,2655
8-4272-12,2656
190-95485-12,2657
152-76076-12,2658
110-55191-12,2659
126-63331-12,2660
107-53663-12,2661
146-73131-12,2662
93-46644-12,2663
42-21033-12,2664
21-10714-12,2665
104-52434-12,2666
170-85495-12,2667
33-16712-12,2668
167-83952-12,2669
51-25825-12,2670
55-27934-12,2671
231-115742-12,2672
242-121323-12,2673
56-28309-12,2674
248-124498-12,2675
168-84196-12,2676
241-120696-12,2677
28-14191-12,2678
57-28833-12,2679
218-109279-12,2680
193-96543-12,2681
204-102395-12,2682
208-104407-12,2683
2-1463-12,2684
124-62422-12,2685
240-120491-12,2686
28-14356-12,2687
193-96572-12,2688
215-107890-12,2689
73-36774-12,2690
194-97008-12,2691
36-18415-12,2692
26-13051-12,2693
62-31394-12,2694
194-97431-12,2695
21-10668-12,2696
32-16035-12,2697
45-22759-12,2698
182-91041-12,2699
221-110733-12,2700
53-26566-12,2701
180-90295-12,2702
38-19341-12,2703
138-69014-12,2704
196-98203-12,2705
249-124750-12,2706
124-62216-12,2707
129-64797-12,2708
125-62967-12,2709
101-50805-12,2710
79-39632-12,2711
11-5865-12,2712
174-87051-12,2713
213-106792-12,2714
231-115568-12,2715
98-49319-12,2716
106-53387-12,2717
71-35835-12,2718
32-16297-12,2719
39-19854-12,2720
33-16798-12,2721
54-27388-12,2722
7-3666-12,2723
184-92234-12,2724
248-124435-12,2725
204-102209-12,2726
68-34398-12,2727
108-54476-12,2728
236-118043-12,2729
127-63626-12,2730
233-116610-12,2731
1-682-12,2732
185-92961-12,2733
108-54239-12,2734
187-93775-12,2735
123-61745-12,2736
238-119019-12,2737
62-31489-12,2738
143-71644-12,2739
123-61913-12,2740
214-107267-12,2741
146-73136-12,2742
211-105853-12,2743
3-1888-12,2744
113-56745-12,2745
72-36034-12,2746
197-98620-12,2747
237-118634-12,2748
127-63573-12,2749
251-125932-12,2750
48-24327-12,2751
38-19320-12,2752
4-2012-12,2753
56-28193-12,2754
251-125856-12,2755
35-17950-12,2756
68-34131-12,2757
26-13494-12,2758
111-55826-12,2759
26-13458-12,2760
199-99792-12,2761
148-74197-12,2762
22-11051-12,2763
74-37179-12,2764
41-20666-12,2765
152-76025-12,2766
78-39167-12,2767
144-72046-12,2768
237-118553-12,2769
130-65225-12,2770
246-123322-12,2771
187-93508-12,2772
174-87074-12,2773
89-44666-12,2774
89-44786-12,2775
122-61037-12,2776
205-102793-12,2777
51-25777-12,2778
17-8772-12,2779
143-71822-12,2780
249-124862-12,2781
32-16128-12,2782
82-41256-12,2783
65-32604-12,2784
113-56930-12,2785
183-91541-12,2786
76-38465-12,2787
21-10886-12,2788
32-16497-12,2789
202-101288-12,2790
135-67507-12,2791
117-58615-12,2792
13-6705-12,2793
37-18806-12,2794
109-54580-12,2795
168-84095-12,2796
172-86071-12,2797
48-24075-12,2798
214-107305-12,2799
177-88712-12,2800
148-74272-12,2801
139-69580-12,2802
67-33559-12,2803
201-100690-12,2804
110-55465-12,2805
210-105368-12,2806
251-125857-12,2807
37-18696-12,2808
64-32234-12,2809
165-82886-12,2810
177-88618-12,2811
72-36440-12,2812
91-45551-12,2813
99-49790-12,2814
191-95915-12,2815
60-30244-12,2816
134-67484-12,2817
87-43773-12,2818
207-103747-12,2819
182-91100-12,2820
121-60968-12,2821
63-31548-12,2822
33-16748-12,2823
222-111287-12,2824
114-57228-12,2825
95-47997-12,2826
231-115602-12,2827
18-9089-12,2828
240-120134-12,2829
62-31336-12,2830
22-11412-12,2831
169-84591-12,2832
74-37466-12,2833
118-59154-12,2834
4-2474-12,2835
237-118678-12,2836
215-107934-12,2837
11-5500-12,2838
17-8649-12,2839
33-16718-12,2840
41-20625-12,2841
17-8538-12,2842
56-28444-12,2843
251-125881-12,2844
38-19150-12,2845
58-29412-12,2846
77-38800-12,2847
85-42874-12,2848
105-52755-12,2849
119-59815-12,2850
239-119932-12,2851
61-30974-12,2852
155-77662-12,2853
97-48509-12,2854
114-57076-12,2855
36-18364-12,2856
208-104098-12,2857
164-82131-12,2858
113-56864-12,2859
41-20781-12,2860
28-14032-12,2861
48-24493-12,2862
102-51034-12,2863
167-83789-12,2864
82-41427-12,2865
50-25344-12,2866
113-56662-12,2867
188-94327-12,2868
62-31435-12,2869
201-100520-12,2870
93-46660-12,2871
164-82082-12,2872
84-42274-12,2873
132-66028-12,2874
177-88550-12,2875
114-57059-12,2876
46-23232-12,2877
42-21270-12,2878
89-44728-12,2879
46-23124-12,2880
92-46448-12,2881
74-37039-12,2882
170-85336-12,2883
220-110223-12,2884
9-4711-12,2885
121-60604-12,2886
202-101451-12,2887
28-14462-12,2888
50-25118-12,2889
160-80128-12,2890
64-32003-12,2891
67-33689-12,2892
122-61434-12,2893
143-71733-12,2894
163-81526-12,2895
189-94845-12,2896
253-126552-12,2897
92-46279-12,2898
