site,i
38-19465-12,355
200-100126-12,356
71-35581-12,357
71-35579-12,358
113-56899-12,359
122-61063-12,360
241-120557-12,361
140-70178-12,362
224-112396-12,363
153-76559-12,364
211-105972-12,365
2-1080-12,366
214-107095-12,367
250-125087-12,368
29-14977-12,369
102-51107-12,370
111-55533-12,371
217-108982-12,372
248-124230-12,373
49-24589-12,374
58-29415-12,375
126-63463-12,376
73-36642-12,377
89-44901-12,378
148-74082-12,379
225-112848-12,380
155-77803-12,381
159-79819-12,382
136-68413-12,383
19-9607-12,384
243-121952-12,385
153-76609-12,386
213-106971-12,387
13-6949-12,388
100-50093-12,389
136-68493-12,390
91-45589-12,391
88-44039-12,392
102-51217-12,393
150-75118-12,394
104-52375-12,395
221-110978-12,396
9-4638-12,397
212-106345-12,398
198-99186-12,399
140-70226-12,400
167-83685-12,401
233-116530-12,402
16-8473-12,403
212-106270-12,404
236-118410-12,405
88-44397-12,406
145-72672-12,407
134-67394-12,408
238-119037-12,409
36-18083-12,410
118-59386-12,411
158-79239-12,412
215-107862-12,413
174-87012-12,414
107-53610-12,415
195-97626-12,416
149-74781-12,417
29-14865-12,418
175-87619-12,419
247-123555-12,420
36-18388-12,421
113-56656-12,422
69-34649-12,423
16-8187-12,424
17-8539-12,425
39-19945-12,426
73-36913-12,427
94-47249-12,428
187-93814-12,429
76-38033-12,430
166-83237-12,431
77-38644-12,432
121-60688-12,433
1-864-12,434
120-60259-12,435
168-84227-12,436
91-45951-12,437
228-114120-12,438
29-14971-12,439
111-55892-12,440
204-102492-12,441
63-31669-12,442
240-120451-12,443
229-114802-12,444
243-121888-12,445
206-103427-12,446
84-42055-12,447
148-74281-12,448
62-31487-12,449
13-6559-12,450
174-87382-12,451
161-80834-12,452
84-42321-12,453
131-65958-12,454
243-121805-12,455
37-18590-12,456
239-119738-12,457
243-121845-12,458
189-94551-12,459
209-104715-12,460
16-8258-12,461
221-110632-12,462
58-29481-12,463
7-3826-12,464
118-59177-12,465
64-32344-12,466
199-99545-12,467
226-113350-12,468
72-36288-12,469
65-32639-12,470
206-103372-12,471
118-59439-12,472
205-102972-12,473
202-101309-12,474
227-113773-12,475
134-67182-12,476
30-15051-12,477
162-81071-12,478
98-49459-12,479
5-2795-12,480
138-69420-12,481
13-6684-12,482
198-99425-12,483
61-30787-12,484
213-106548-12,485
128-64409-12,486
191-95702-12,487
167-83928-12,488
54-27435-12,489
77-38720-12,490
230-115168-12,491
215-107852-12,492
122-61117-12,493
240-120318-12,494
23-11601-12,495
138-69218-12,496
189-94956-12,497
4-2198-12,498
235-117798-12,499
15-7757-12,500
73-36816-12,501
221-110884-12,502
20-10112-12,503
240-120475-12,504
229-114930-12,505
252-126444-12,506
227-113783-12,507
175-87793-12,508
37-18916-12,509
208-104017-12,510
89-44911-12,511
230-115467-12,512
240-120409-12,513
46-23206-12,514
62-31332-12,515
47-23688-12,516
56-28148-12,517
73-36887-12,518
204-102242-12,519
123-61846-12,520
200-100265-12,521
47-23524-12,522
155-77598-12,523
222-111375-12,524
125-62815-12,525
208-104275-12,526
124-62222-12,527
235-117856-12,528
130-65043-12,529
69-34659-12,530
27-13925-12,531
73-36526-12,532
150-75381-12,533
174-87208-12,534
1-930-12,535
55-27903-12,536
48-24085-12,537
88-44384-12,538
133-66970-12,539
33-16863-12,540
201-100778-12,541
113-56902-12,542
25-12564-12,543
252-126339-12,544
75-37883-12,545
91-45984-12,546
245-122675-12,547
219-109510-12,548
61-30556-12,549
23-11979-12,550
212-106210-12,551
9-4762-12,552
0-441-12,553
26-13019-12,554
23-11985-12,555
135-67535-12,556
152-76360-12,557
251-125745-12,558
169-84843-12,559
109-54575-12,560
134-67114-12,561
131-65799-12,562
136-68315-12,563
200-100015-12,564
168-84309-12,565
81-40679-12,566
91-45584-12,567
149-74956-12,568
194-97380-12,569
75-37626-12,570
15-7586-12,571
90-45235-12,572
85-42523-12,573
98-49056-12,574
10-5391-12,575
72-36372-12,576
191-95540-12,577
144-72112-12,578
185-92889-12,579
182-91271-12,580
124-62200-12,581
65-32816-12,582
69-34923-12,583
234-117445-12,584
250-125487-12,585
114-57452-12,586
159-79864-12,587
12-6280-12,588
43-21879-12,589
193-96839-12,590
91-45564-12,591
219-109871-12,592
37-18690-12,593
3-1954-12,594
174-87232-12,595
144-72229-12,596
234-117208-12,597
204-102174-12,598
52-26407-12,599
12-6193-12,600
103-51731-12,601
15-7528-12,602
111-55751-12,603
172-86123-12,604
33-16807-12,605
85-42561-12,606
30-15284-12,607
108-54428-12,608
92-46335-12,609
114-57159-12,610
223-111825-12,611
219-109747-12,612
152-76319-12,613
230-115290-12,614
216-108029-12,615
155-77541-12,616
110-55251-12,617
13-6869-12,618
14-7196-12,619
120-60276-12,620
136-68452-12,621
127-63769-12,622
31-15848-12,623
104-52404-12,624
159-79882-12,625
131-65670-12,626
61-30741-12,627
93-46760-12,628
30-15303-12,629
47-23965-12,630
133-66935-12,631
199-99941-12,632
83-41640-12,633
67-33947-12,634
153-76956-12,635
55-27813-12,636
217-108859-12,637
135-67740-12,638
211-105572-12,639
3-1914-12,640
135-67914-12,641
5-2545-12,642
217-108797-12,643
123-61803-12,644
17-8848-12,645
75-37919-12,646
86-43244-12,647
209-104571-12,648
160-80391-12,649
52-26033-12,650
150-75164-12,651
227-113521-12,652
56-28435-12,653
155-77876-12,654
55-27590-12,655
150-75099-12,656
36-18039-12,657
125-62698-12,658
238-119280-12,659
108-54075-12,660
218-109108-12,661
106-53166-12,662
18-9387-12,663
122-61026-12,664
112-56118-12,665
203-101931-12,666
78-39394-12,667
196-98376-12,668
189-94595-12,669
28-14224-12,670
52-26092-12,671
40-20435-12,672
31-15816-12,673
185-92743-12,674
221-110574-12,675
251-125709-12,676
188-94037-12,677
154-77117-12,678
240-120410-12,679
141-70789-12,680
192-96351-12,681
169-84520-12,682
238-119044-12,683
247-123615-12,684
201-100997-12,685
214-107392-12,686
210-105363-12,687
245-122883-12,688
153-76765-12,689
173-86953-12,690
61-30532-12,691
64-32063-12,692
137-68554-12,693
78-39264-12,694
62-31121-12,695
250-125307-12,696
242-121158-12,697
120-60362-12,698
98-49155-12,699
246-123439-12,700
79-39881-12,701
74-37378-12,702
201-100945-12,703
200-100398-12,704
226-113328-12,705
87-43918-12,706
222-111122-12,707
2-1116-12,708
78-39255-12,709
236-118321-12,710
47-23678-12,711
184-92218-12,712
63-31715-12,713
193-96639-12,714
40-20263-12,715
245-122825-12,716
121-60565-12,717
185-92721-12,718
141-70505-12,719
156-78190-12,720
210-105359-12,721
129-64858-12,722
238-119054-12,723
213-106889-12,724
80-40113-12,725
176-88430-12,726
57-28690-12,727
108-54308-12,728
200-100347-12,729
20-10244-12,730
241-120757-12,731
120-60470-12,732
35-17904-12,733
223-111616-12,734
63-31521-12,735
184-92373-12,736
31-15813-12,737
228-114403-12,738
113-56694-12,739
49-24556-12,740
182-91375-12,741
163-81800-12,742
211-105708-12,743
9-4889-12,744
66-33041-12,745
233-116594-12,746
165-82766-12,747
147-73960-12,748
95-47919-12,749
66-33480-12,750
26-13180-12,751
103-51545-12,752
237-118522-12,753
203-101501-12,754
29-14737-12,755
44-22098-12,756
3-1609-12,757
218-109330-12,758
221-110923-12,759
224-112495-12,760
178-89192-12,761
251-125838-12,762
81-40900-12,763
5-2990-12,764
57-28967-12,765
225-112502-12,766
82-41409-12,767
245-122917-12,768
239-119831-12,769
147-73833-12,770
236-118019-12,771
105-52675-12,772
172-86254-12,773
228-114346-12,774
196-98110-12,775
28-14277-12,776
31-15925-12,777
197-98989-12,778
51-25830-12,779
12-6452-12,780
138-69100-12,781
238-119112-12,782
71-35699-12,783
207-103581-12,784
71-35979-12,785
27-13620-12,786
17-8769-12,787
238-119085-12,788
16-8418-12,789
206-103329-12,790
196-98026-12,791
115-57552-12,792
104-52318-12,793
110-55331-12,794
138-69441-12,795
183-91547-12,796
251-125966-12,797
160-80413-12,798
167-83793-12,799
83-41511-12,800
131-65654-12,801
230-115258-12,802
99-49638-12,803
57-28831-12,804
45-22517-12,805
170-85286-12,806
115-57775-12,807
220-110471-12,808
57-28940-12,809
162-81344-12,810
235-117517-12,811
130-65153-12,812
116-58205-12,813
232-116099-12,814
236-118488-12,815
28-14089-12,816
242-121397-12,817
170-85020-12,818
125-62762-12,819
203-101763-12,820
109-54749-12,821
55-27691-12,822
113-56587-12,823
171-85588-12,824
52-26386-12,825
135-67876-12,826
179-89555-12,827
69-34835-12,828
6-3463-12,829
14-7336-12,830
228-114248-12,831
208-104268-12,832
212-106149-12,833
42-21258-12,834
124-62499-12,835
46-23247-12,836
88-44043-12,837
0-115-12,838
156-78214-12,839
175-87865-12,840
108-54148-12,841
54-27315-12,842
227-113856-12,843
205-102930-12,844
240-120112-12,845
56-28203-12,846
203-101891-12,847
174-87101-12,848
59-29870-12,849
25-12561-12,850
9-4854-12,851
173-86686-12,852
178-89490-12,853
82-41478-12,854
240-120074-12,855
149-74645-12,856
28-14440-12,857
130-65327-12,858
83-41514-12,859
30-15048-12,860
249-124887-12,861
99-49980-12,862
202-101428-12,863
225-112667-12,864
234-117051-12,865
74-37414-12,866
238-119145-12,867
228-114097-12,868
176-88156-12,869
121-60689-12,870
251-125760-12,871
31-15786-12,872
251-125539-12,873
63-31991-12,874
49-24703-12,875
176-88466-12,876
154-77351-12,877
220-110417-12,878
185-92870-12,879
21-10925-12,880
70-35236-12,881
117-58765-12,882
112-56113-12,883
170-85305-12,884
232-116463-12,885
17-8560-12,886
143-71839-12,887
76-38013-12,888
104-52271-12,889
70-35393-12,890
27-13899-12,891
46-23451-12,892
206-103209-12,893
31-15782-12,894
113-56521-12,895
179-89782-12,896
37-18517-12,897
240-120332-12,898
16-8485-12,899
3-1581-12,900
187-93692-12,901
61-30904-12,902
43-21801-12,903
211-105570-12,904
151-75581-12,905
192-96226-12,906
246-123465-12,907
0-276-12,908
222-111111-12,909
24-12269-12,910
32-16047-12,911
214-107434-12,912
15-7912-12,913
197-98780-12,914
10-5244-12,915
73-36775-12,916
195-97704-12,917
84-42102-12,918
66-33455-12,919
90-45355-12,920
19-9805-12,921
161-80699-12,922
204-102013-12,923
98-49407-12,924
11-5700-12,925
212-106305-12,926
89-44579-12,927
229-114954-12,928
80-40149-12,929
109-54853-12,930
172-86258-12,931
70-35431-12,932
14-7230-12,933
86-43092-12,934
142-71294-12,935
45-22789-12,936
120-60163-12,937
167-83567-12,938
179-89643-12,939
224-112425-12,940
27-13967-12,941
20-10083-12,942
121-60844-12,943
126-63010-12,944
191-95510-12,945
179-89563-12,946
182-91417-12,947
210-105421-12,948
143-71845-12,949
117-58577-12,950
9-4680-12,951
177-88902-12,952
71-35687-12,953
17-8664-12,954
220-110443-12,955
248-124324-12,956
114-57278-12,957
73-36627-12,958
112-56129-12,959
74-37350-12,960
150-75013-12,961
134-67023-12,962
215-107652-12,963
188-94081-12,964
138-69029-12,965
197-98784-12,966
62-31180-12,967
225-112635-12,968
247-123578-12,969
196-98225-12,970
3-1753-12,971
3-1508-12,972
97-48602-12,973
88-44490-12,974
125-62551-12,975
64-32169-12,976
95-47615-12,977
171-85914-12,978
119-59586-12,979
207-103989-12,980
225-112835-12,981
94-47179-12,982
45-22654-12,983
61-30743-12,984
247-123760-12,985
23-11503-12,986
206-103269-12,987
252-126255-12,988
89-44648-12,989
152-76362-12,990
156-78357-12,991
4-2104-12,992
133-66818-12,993
93-46512-12,994
191-95502-12,995
243-121512-12,996
67-33737-12,997
68-34475-12,998
7-3722-12,999
6-3183-12,1000
217-108617-12,1001
184-92300-12,1002
220-110115-12,1003
248-124066-12,1004
66-33306-12,1005
201-100827-12,1006
2-1168-12,1007
9-4530-12,1008
192-96147-12,1009
148-74022-12,1010
129-64937-12,1011
229-114776-12,1012
25-12673-12,1013
131-65989-12,1014
227-113551-12,1015
157-78587-12,1016
226-113103-12,1017
229-114678-12,1018
135-67716-12,1019
251-125628-12,1020
157-78657-12,1021
210-105249-12,1022
174-87344-12,1023
192-96132-12,1024
220-110336-12,1025
51-25828-12,1026
228-114067-12,1027
141-70990-12,1028
143-71709-12,1029
239-119582-12,1030
23-11519-12,1031
208-104326-12,1032
170-85071-12,1033
147-73572-12,1034
100-50380-12,1035
75-37869-12,1036
152-76264-12,1037
70-35027-12,1038
79-39516-12,1039
57-28551-12,1040
237-118763-12,1041
197-98719-12,1042
123-61989-12,1043
234-117378-12,1044
127-63653-12,1045
69-34582-12,1046
155-77622-12,1047
213-106503-12,1048
250-125061-12,1049
33-16794-12,1050
194-97016-12,1051
57-28845-12,1052
11-5613-12,1053
167-83668-12,1054
104-52051-12,1055
65-32618-12,1056
50-25281-12,1057
79-39589-12,1058
64-32047-12,1059
77-38680-12,1060
34-17337-12,1061
45-22723-12,1062
67-33787-12,1063
137-68531-12,1064
125-62559-12,1065
22-11041-12,1066
251-125827-12,1067
240-120407-12,1068
179-89869-12,1069
79-39783-12,1070
68-34348-12,1071
175-87873-12,1072
37-18854-12,1073
138-69266-12,1074
185-92643-12,1075
52-26412-12,1076
108-54019-12,1077
112-56326-12,1078
156-78102-12,1079
216-108343-12,1080
34-17194-12,1081
118-59446-12,1082
168-84143-12,1083
101-50525-12,1084
127-63855-12,1085
143-71911-12,1086
252-126340-12,1087
83-41817-12,1088
25-12622-12,1089
181-90582-12,1090
229-114502-12,1091
187-93850-12,1092
239-119546-12,1093
4-2116-12,1094
198-99021-12,1095
48-24407-12,1096
172-86333-12,1097
47-23686-12,1098
46-23276-12,1099
25-12691-12,1100
249-124635-12,1101
53-26819-12,1102
133-66987-12,1103
5-2905-12,1104
207-103641-12,1105
65-32812-12,1106
225-112585-12,1107
87-43560-12,1108
75-37526-12,1109
65-32767-12,1110
5-2642-12,1111
14-7486-12,1112
201-100674-12,1113
109-54616-12,1114
159-79619-12,1115
107-53841-12,1116
95-47507-12,1117
129-64719-12,1118
215-107647-12,1119
161-80652-12,1120
242-121234-12,1121
172-86216-12,1122
179-89998-12,1123
111-55883-12,1124
184-92493-12,1125
180-90149-12,1126
134-67300-12,1127
12-6016-12,1128
243-121978-12,1129
250-125146-12,1130
232-116342-12,1131
184-92385-12,1132
201-100819-12,1133
